date,ridership
2023-01-01,1013185
2023-01-02,1062726
2023-01-03,1734883
2023-01-04,1862526
2023-01-05,1865376
2023-01-06,1702969
2023-01-07,1176616
2023-01-08,885711
2023-01-09,1647407
2023-01-10,1885686
2023-01-11,1909690
2023-01-12,1892062
2023-01-13,1712409
2023-01-14,1171928
2023-01-15,969151
2023-01-16,1135997
2023-01-17,1866426
2023-01-18,1959081
2023-01-19,1921781
2023-01-20,1767242
2023-01-21,1193802
2023-01-22,894491
2023-01-23,1661361
2023-01-24,1965549
2023-01-25,1946062
2023-01-26,1992111
2023-01-27,1778181
2023-01-28,1257066
2023-01-29,898361
2023-01-30,1700922
2023-01-31,2002963
2023-02-01,2008902
2023-02-02,2008266
2023-02-03,1690897
2023-02-04,982932
2023-02-05,899195
2023-02-06,1770514
2023-02-07,2036575
2023-02-08,2056554
2023-02-09,2035544
2023-02-10,1862364
2023-02-11,1298850
2023-02-12,968348
2023-02-13,1745469
2023-02-14,2086666
2023-02-15,2050542
2023-02-16,2001828
2023-02-17,1760001
2023-02-18,1289548
2023-02-19,1049293
2023-02-20,1189966
2023-02-21,1862125
2023-02-22,1949335
2023-02-23,1964934
2023-02-24,1778674
2023-02-25,1166474
2023-02-26,916606
2023-02-27,1766950
2023-02-28,1842250
2023-03-01,2066865
2023-03-02,2058811
2023-03-03,1846037
2023-03-04,1226883
2023-03-05,998706
2023-03-06,1807457
2023-03-07,2074677
2023-03-08,2108839
2023-03-09,2093087
2023-03-10,1862257
2023-03-11,1250741
2023-03-12,994022
2023-03-13,1793816
2023-03-14,1973346
2023-03-15,2166478
2023-03-16,2176079
2023-03-17,1973682
2023-03-18,1370194
2023-03-19,1090968
2023-03-20,1812930
2023-03-21,2057626
2023-03-22,2068500
2023-03-23,2059960
2023-03-24,1885416
2023-03-25,1232641
2023-03-26,1104513
2023-03-27,1811032
2023-03-28,2068501
2023-03-29,2118938
2023-03-30,2110208
2023-03-31,1895198
2023-04-01,1279568
2023-04-02,1095149
2023-04-03,1926066
2023-04-04,2141794
2023-04-05,2118755
2023-04-06,1940831
2023-04-07,1751603
2023-04-08,1374756
2023-04-09,1069418
2023-04-10,1736333
2023-04-11,2005140
2023-04-12,2034437
2023-04-13,2067553
2023-04-14,1918879
2023-04-15,1326785
2023-04-16,1031924
2023-04-17,1814288
2023-04-18,2121645
2023-04-19,2155200
2023-04-20,2199317
2023-04-21,1920038
2023-04-22,1411540
2023-04-23,1075550
2023-04-24,1912205
2023-04-25,2185034
2023-04-26,2208388
2023-04-27,2214645
2023-04-28,1998507
2023-04-29,1291108
2023-04-30,1036509
2023-05-01,1965153
2023-05-02,2196178
2023-05-03,2230793
2023-05-04,2209749
2023-05-05,2011058
2023-05-06,1444852
2023-05-07,1150728
2023-05-08,1884704
2023-05-09,2148464
2023-05-10,2210884
2023-05-11,2200978
2023-05-12,1979996
2023-05-13,1384309
2023-05-14,1075678
2023-05-15,1909223
2023-05-16,2223731
2023-05-17,2286805
2023-05-18,2276176
2023-05-19,2038106
2023-05-20,1344603
2023-05-21,1208484
2023-05-22,1918837
2023-05-23,2159681
2023-05-24,2177313
2023-05-25,2104323
2023-05-26,1846309
2023-05-27,1308070
2023-05-28,1134633
2023-05-29,1048880
2023-05-30,2015973
2023-05-31,2151585
2023-06-01,2156586
2023-06-02,1917293
2023-06-03,1343035
2023-06-04,1119665
2023-06-05,1899883
2023-06-06,2182974
2023-06-07,2092015
2023-06-08,1821233
2023-06-09,1859540
2023-06-10,1442718
2023-06-11,1153910
2023-06-12,1877112
2023-06-13,2205683
2023-06-14,2188748
2023-06-15,2189228
2023-06-16,1818833
2023-06-17,1364539
2023-06-18,1085857
2023-06-19,1407937
2023-06-20,2105864
2023-06-21,2183695
2023-06-22,2122235
2023-06-23,1888565
2023-06-24,1393215
2023-06-25,1312843
2023-06-26,1819219
2023-06-27,2100854
2023-06-28,2085684
2023-06-29,2071276
2023-06-30,1762194
2023-07-01,1233962
2023-07-02,1007300
2023-07-03,1423957
2023-07-04,952323
2023-07-05,1848427
2023-07-06,1964810
2023-07-07,1804795
2023-07-08,1274829
2023-07-09,996709
2023-07-10,1776681
2023-07-11,2073525
2023-07-12,2116242
2023-07-13,2081574
2023-07-14,1791415
2023-07-15,1307335
2023-07-16,920346
2023-07-17,1822964
2023-07-18,2051439
2023-07-19,2106647
2023-07-20,2111345
2023-07-21,1836421
2023-07-22,1375420
2023-07-23,1110979
2023-07-24,1808546
2023-07-25,2088999
2023-07-26,2156711
2023-07-27,2044394
2023-07-28,1801416
2023-07-29,1267695
2023-07-30,1096908
2023-07-31,1763382
2023-08-01,2034050
2023-08-02,2064712
2023-08-03,2035130
2023-08-04,1768294
2023-08-05,1313093
2023-08-06,1057014
2023-08-07,1687685
2023-08-08,1987055
2023-08-09,2043137
2023-08-10,1960935
2023-08-11,1804654
2023-08-12,1318489
2023-08-13,1098596
2023-08-14,1702612
2023-08-15,1915090
2023-08-16,1953720
2023-08-17,1911123
2023-08-18,1735125
2023-08-19,1309709
2023-08-20,1039161
2023-08-21,1637109
2023-08-22,1881989
2023-08-23,1911536
2023-08-24,1862654
2023-08-25,1650070
2023-08-26,1252149
2023-08-27,1059863
2023-08-28,1696402
2023-08-29,1889116
2023-08-30,1923183
2023-08-31,1905302
2023-09-01,1722281
2023-09-02,1272069
2023-09-03,1127784
2023-09-04,996208
2023-09-05,1942734
2023-09-06,2095678
2023-09-07,2175607
2023-09-08,1968257
2023-09-09,1381366
2023-09-10,1056017
2023-09-11,1972367
2023-09-12,2241713
2023-09-13,2199769
2023-09-14,2252936
2023-09-15,1989440
2023-09-16,1387769
2023-09-17,1140814
2023-09-18,1962568
2023-09-19,2323480
2023-09-20,2354572
2023-09-21,2327097
2023-09-22,2098556
2023-09-23,1255661
2023-09-24,989793
2023-09-25,1628137
2023-09-26,2226122
2023-09-27,2285643
2023-09-28,2283008
2023-09-29,1364610
2023-09-30,1255049
2023-10-01,1136659
2023-10-02,1989388
2023-10-03,2249532
2023-10-04,2262572
2023-10-05,2268800
2023-10-06,1993842
2023-10-07,1299398
2023-10-08,1221101
2023-10-09,1608533
2023-10-10,2219628
2023-10-11,2277159
2023-10-12,2304749
2023-10-13,1901928
2023-10-14,1308195
2023-10-15,1166649
2023-10-16,1993810
2023-10-17,2264775
2023-10-18,2293649
2023-10-19,2321390
2023-10-20,2003483
2023-10-21,1414762
2023-10-22,1153914
2023-10-23,2005630
2023-10-24,2281607
2023-10-25,2326368
2023-10-26,2348538
2023-10-27,2122813
2023-10-28,1606262
2023-10-29,1087733
2023-10-30,2016246
2023-10-31,2286692
2023-11-01,2309925
2023-11-02,2332438
2023-11-03,2111727
2023-11-04,1541000
2023-11-05,1375992
2023-11-06,2024498
2023-11-07,2105888
2023-11-08,2290320
2023-11-09,2270288
2023-11-10,1999051
2023-11-11,1533858
2023-11-12,1141525
2023-11-13,1959327
2023-11-14,2238128
2023-11-15,2272187
2023-11-16,2277551
2023-11-17,2045947
2023-11-18,1445099
2023-11-19,1129082
2023-11-20,2005548
2023-11-21,2123850
2023-11-22,1843785
2023-11-23,941205
2023-11-24,1398884
2023-11-25,1258924
2023-11-26,982207
2023-11-27,1916895
2023-11-28,2217390
2023-11-29,2303795
2023-11-30,2314970
2023-12-01,2100784
2023-12-02,1670874
2023-12-03,1119087
2023-12-04,2061806
2023-12-05,2336096
2023-12-06,2372838
2023-12-07,2358904
2023-12-08,2182099
2023-12-09,1783307
2023-12-10,1126793
2023-12-11,2046727
2023-12-12,2335320
2023-12-13,2343845
2023-12-14,2378381
2023-12-15,2164140
2023-12-16,1745770
2023-12-17,1169703
2023-12-18,1857136
2023-12-19,2236439
2023-12-20,2174594
2023-12-21,2064462
2023-12-22,1856388
2023-12-23,1307599
2023-12-24,957745
2023-12-25,757361
2023-12-26,1526988
2023-12-27,1668616
2023-12-28,1769432
2023-12-29,1846550
2023-12-30,1469037
2023-12-31,1128420
